Wavelength,AF610
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,1.449883
581,0.7301944
582,0.5410796
583,0.5831051
584,0.6671561
585,0.8300062
586,0.9193108
587,1.118931
588,1.276528
589,1.465642
590,1.754574
591,2.159061
592,2.463744
593,2.873498
594,3.377808
595,4.092245
596,4.722627
597,5.505351
598,6.335361
599,7.585625
600,8.741335
601,10.13342
602,11.70414
603,13.5375
604,15.62302
605,17.78742
606,20.37189
607,22.60984
608,25.99801
609,29.20784
610,32.21267
611,35.97919
612,40.22908
613,44.22145
614,48.67618
615,53.08358
616,57.95333
617,61.97203
618,66.84179
619,71.61687
620,76.31844
621,80.23215
622,84.31385
623,87.73904
624,90.85419
625,94.30553
626,96.61682
627,98.09824
628,99.33279
629,99.85815
630,100
631,99.48514
632,98.95978
633,97.48886
634,95.70277
635,93.54383
636,91.51073
637,88.31156
638,85.39608
639,83.02162
640,78.94508
641,75.84042
642,72.98793
643,69.48943
644,66.03791
645,63.21177
646,59.78142
647,57.03928
648,53.78744
649,51.0348
650,48.4765
651,46.03904
652,43.58575
653,41.14829
654,38.79483
655,36.92474
656,34.9338
657,33.32639
658,31.6978
659,30.15339
660,28.58264
661,27.26407
662,25.58832
663,24.94746
664,23.79173
665,22.81468
666,21.75879
667,20.93408
668,20.20388
669,19.421
670,18.79597
671,18.48595
672,17.51941
673,17.13593
674,17.00986
675,16.56859
676,16.20612
677,15.92245
678,15.52847
679,15.39713
680,15.06093
681,14.84555
682,14.67744
683,14.43054
684,14.1889
685,13.8632
686,13.70034
687,13.59004
688,13.31687
689,13.12774
690,12.71801
691,12.36079
692,12.15591
693,11.79344
694,11.45722
695,11.25762
696,10.87938
697,10.76381
698,10.16494
699,9.87601
700,9.755187
701,9.313931
702,8.998732
703,8.683548
704,8.342081
705,8.01638
706,7.753717
707,7.265175
708,6.934225
709,6.713597
710,6.340611
711,6.172519
712,5.789032
713,5.500101
714,5.316241
715,4.964273
716,4.885468
717,4.501999
718,4.32864
719,4.1868
720,3.845349
721,3.745527
722,3.556417
723,3.35679
724,3.178181
725,3.015339
726,2.805212
727,2.705407
728,2.605584
729,2.526797
730,2.31667
731,2.253616
732,2.148561
733,2.01197
734,1.843879
735,1.807093
736,1.759824
737,1.633746
738,1.602226
739,1.544441
740,1.449883
741,1.42887
742,1.350073
743,1.323807
744,1.266022
745,1.176717
746,1.118931
747,1.061146
748,1.061146
749,0.9981082
750,0.9508291
751,0.9665882
752,0.8772854
753,0.8877909
754,0.7879807
755,0.819499
756,0.7932326
757,0.766968
758,0.6881689
759,0.7301944
760,0.6671561
761,0.6566505
762,0.619877
763,0.5883587
764,0.5725996
765,0.5988643
766,0.567346
767,0.5568388
768,0.5095613
769,0.5410796
770,0.4727877
771,0.4570286
772,0.451775
773,0.4465214
774,0.4360158
775,0.4150031
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
