Wavelength,AF555
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,1.9275
536,2.080853
537,2.318372
538,2.506311
539,3.047387
540,3.724193
541,4.293104
542,5.430642
543,6.47603
544,7.932
545,9.589578
546,11.60846
547,14.00496
548,16.69012
549,19.61489
550,23.73687
551,27.52582
552,32.14893
553,37.17287
554,42.43115
555,48.58021
556,54.5079
557,60.02837
558,66.74229
559,72.594
560,77.97654
561,82.70882
562,87.29093
563,91.2897
564,94.82516
565,97.03651
566,98.87507
567,99.69165
568,100
569,99.22762
570,97.85753
571,96.45851
572,94.81203
573,92.65322
574,88.89925
575,86.21765
576,83.61398
577,79.9193
578,76.77615
579,73.83575
580,70.47177
581,68.08646
582,65.04823
583,62.79854
584,59.72463
585,57.24417
586,54.91389
587,52.342
588,50.89114
589,48.84862
590,47.4361
591,46.26821
592,45.21783
593,43.69668
594,43.19803
595,42.44677
596,41.76688
597,41.46705
598,41.3506
599,40.8278
600,40.53898
601,40.72573
602,40.20702
603,40.7323
604,40.28247
605,40.63733
606,40.84218
607,40.17276
608,40.15182
609,40.35933
610,39.83317
611,39.93169
612,39.32138
613,38.41107
614,38.41338
615,37.66869
616,36.85991
617,35.89563
618,35.14508
619,34.18329
620,33.80571
621,32.81551
622,31.43602
623,30.60363
624,29.09313
625,28.93176
626,27.34156
627,26.43
628,25.45862
629,24.28043
630,23.43154
631,22.55886
632,21.64641
633,21.17084
634,20.01076
635,19.45122
636,18.73156
637,18.15605
638,17.27609
639,16.81037
640,15.84705
641,15.27929
642,14.82007
643,14.53366
644,13.90894
645,13.72499
646,13.16842
647,12.75255
648,12.26964
649,12.04419
650,11.99763
651,11.50307
652,11.20508
653,10.86402
654,10.8032
655,10.33782
656,10.37657
657,9.949337
658,9.635945
659,9.538666
660,9.519262
661,9.088923
662,8.836083
663,9.11026
664,8.620735
665,8.446874
666,8.405282
667,8.097429
668,7.667711
669,7.776281
670,7.692084
671,7.37919
672,7.15202
673,6.850256
674,6.746568
675,6.73494
676,6.512545
677,6.125715
678,6.188344
679,5.916368
680,5.932841
681,5.561064
682,5.119736
683,5.20056
684,5.267626
685,4.926348
686,4.719183
687,4.66607
688,4.400077
689,4.323992
690,4.145853
691,3.843202
692,3.927079
693,3.716258
694,3.464608
695,3.54371
696,3.102222
697,3.105293
698,3.127128
699,2.904769
700,2.847537
701,2.883875
702,2.687468
703,2.543945
704,2.476683
705,2.346171
706,2.171529
707,2.219831
708,1.996158
709,1.829788
710,2.111634
711,1.854517
712,1.922329
713,1.812392
714,1.654301
715,1.58348
716,1.557193
717,1.435518
718,1.525089
719,1.254501
720,1.514574
721,1.187223
722,1.302513
723,1.293496
724,1.309794
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
