Wavelength (nm),Fit AF488,Fit AF555,Fit AF594,Fit AF610,Fit AF647,Fit full,Experimental,Residuals,Fit AF488 integrated,Fit AF555 integrated,Fit AF594 integrated,Fit AF610 integrated,Fit AF647 integrated,Fit full Integrated,Sum residuals,Coeff of Determination (R2)
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
475,161.56833000001276,0.0,0.0,0.0,0.0,161.56833000001276,161.56833,1.6285199088994427e-22,,,,,,,,
476,115.79130750000917,0.0,0.0,0.0,0.0,115.79130750000917,115.7913075,8.401557967221029e-23,,,,,,,,
477,80.05946850000633,0.0,0.0,0.0,0.0,80.05946850000633,80.0594685,4.017076629067335e-23,,,,,,,,
478,79.86219450000631,0.0,0.0,0.0,0.0,79.86219450000631,79.8621945,3.981129815338224e-23,,,,,,,,
479,94.01803950000743,0.0,0.0,0.0,0.0,94.01803950000743,94.0180395,5.523874164331472e-23,,,,,,,,
480,117.32928900000928,0.0,0.0,0.0,0.0,117.32928900000928,117.329289,8.611261177200292e-23,,,,,,,,
481,142.05774000001125,0.0,0.0,0.0,0.0,142.05774000001125,142.05774,1.266749559942535e-22,,,,,,,,
482,176.52937500001394,0.0,0.0,0.0,0.0,176.52937500001394,176.529375,1.9474368091298483e-22,,,,,,,,
483,222.08901000001754,0.0,0.0,0.0,0.0,222.08901000001754,222.08901,3.0751812520722613e-22,,,,,,,,
484,275.25003000002175,0.0,0.0,0.0,0.0,275.25003000002175,275.25003,4.739777221671526e-22,,,,,,,,
485,347.15257500002747,0.0,0.0,0.0,0.0,347.15257500002747,347.152575,7.537974137573565e-22,,,,,,,,
486,425.9800050000337,0.0,0.0,0.0,0.0,425.9800050000337,425.980005,1.1362392000924204e-21,,,,,,,,
487,532.0401900000421,0.0,0.0,0.0,0.0,532.0401900000421,532.04019,1.7693910290392108e-21,,,,,,,,
488,650.8469550000515,0.0,0.0,0.0,0.0,650.8469550000515,650.846955,2.6522641612717853e-21,,,,,,,,
489,800.0067900000632,0.0,0.0,0.0,0.0,800.0067900000632,800.00679,3.995489153784262e-21,,,,,,,,
490,975.5780100000771,0.0,0.0,0.0,0.0,975.5780100000771,975.57801,5.958815262375944e-21,,,,,,,,
491,1170.7644300000925,0.0,0.0,0.0,0.0,1170.7644300000925,1170.76443,8.56385258054978e-21,,,,,,,,
492,1406.5101600001112,0.0,0.0,0.0,0.0,1406.5101600001112,1406.51016,1.2362265953393283e-20,,,,,,,,
493,1684.191300000133,0.0,0.0,0.0,0.0,1684.191300000133,1684.1913,1.7692617820684994e-20,,,,,,,,
494,2011.341750000159,0.0,0.0,0.0,0.0,2011.341750000159,2011.34175,2.5260079654626367e-20,,,,,,,,
495,2399.88705000019,0.0,0.0,0.0,0.0,2399.88705000019,2399.88705,3.61320763369288e-20,,,,,,,,
496,2826.4153500002235,0.0,0.0,0.0,0.0,2826.4153500002235,2826.41535,4.9854382313724116e-20,,,,,,,,
497,3326.0320500002626,0.0,0.0,0.0,0.0,3326.0320500002626,3326.03205,6.908695194104142e-20,,,,,,,,
498,3883.055550000307,0.0,0.0,0.0,0.0,3883.055550000307,3883.05555,9.422104164861831e-20,,,,,,,,
499,4492.578750000355,0.0,0.0,0.0,0.0,4492.578750000355,4492.57875,1.2646019922771942e-19,,,,,,,,
500,5157.271350000407,0.0,0.0,0.0,0.0,5157.271350000407,5157.27135,1.6601845766184287e-19,,,,,,,,
501,5859.019650000464,0.0,0.0,0.0,0.0,5859.019650000464,5859.01965,2.151496773250425e-19,,,,,,,,
502,6608.096550000522,0.0,0.0,0.0,0.0,6608.096550000522,6608.09655,2.7253615950152135e-19,,,,,,,,
503,7367.8869000005825,0.0,0.0,0.0,0.0,7367.8869000005825,7367.8869,3.3881317890172014e-19,,,,,,,,
504,8193.812550000648,0.0,0.0,0.0,0.0,8193.812550000648,8193.81255,4.1933424845008206e-19,,,,,,,,
505,8986.86690000071,0.0,0.0,0.0,0.0,8986.86690000071,8986.8669,5.03256684677262e-19,,,,,,,,
506,9835.425600000777,0.0,0.0,0.0,0.0,9835.425600000777,9835.4256,6.032760556247239e-19,,,,,,,,
507,10663.501200000843,0.0,0.0,0.0,0.0,10663.501200000843,10663.5012,7.0928752292952e-19,,,,,,,,
508,11513.383200000912,0.0,0.0,0.0,0.0,11513.383200000912,11513.3832,8.3049264372569e-19,,,,,,,,
509,12258.11400000097,0.0,0.0,0.0,0.0,12258.11400000097,12258.114,9.399716521583083e-19,,,,,,,,
510,13053.742350001032,0.0,0.0,0.0,0.0,13053.742350001032,13053.74235,1.0637178717962413e-18,,,,,,,,
511,13708.176900001083,0.0,0.0,0.0,0.0,13708.176900001083,13708.1769,1.1713704654363425e-18,,,,,,,,
512,14317.361850001133,0.0,0.0,0.0,0.0,14317.361850001133,14317.36185,1.2842111358783763e-18,,,,,,,,
513,14879.645550001176,0.0,0.0,0.0,0.0,14879.645550001176,14879.64555,1.3850609961608414e-18,,,,,,,,
514,15323.711700001211,0.0,0.0,0.0,0.0,15323.711700001211,15323.7117,1.467603695126283e-18,,,,,,,,
515,15685.272900001239,0.0,0.0,0.0,0.0,15685.272900001239,15685.2729,1.5344564322328187e-18,,,,,,,,
516,15997.132800001265,0.0,0.0,0.0,0.0,15997.132800001265,15997.1328,1.6027980944419498e-18,,,,,,,,
517,16241.695800001286,0.0,0.0,0.0,0.0,16241.695800001286,16241.6958,1.6538616080160733e-18,,,,,,,,
518,16412.238150001296,0.0,0.0,0.0,0.0,16412.238150001296,16412.23815,1.6773369938003282e-18,,,,,,,,
519,16470.4270500013,0.0,0.0,0.0,0.0,16470.4270500013,16470.42705,1.6962364164359398e-18,,,,,,,,
520,16500.000000001306,0.0,0.0,0.0,0.0,16500.000000001306,16500.0,1.7057258324231482e-18,,,,,,,,
521,16437.0607500013,0.0,0.0,0.0,0.0,16437.0607500013,16437.06075,1.6867734702283332e-18,,,,,,,,
522,16265.893050001287,0.0,0.0,0.0,0.0,16265.893050001287,16265.89305,1.6538616080160733e-18,,,,,,,,
523,16050.38985000127,0.0,0.0,0.0,0.0,16050.38985000127,16050.38985,1.6120228126331412e-18,,,,,,,,
524,15836.744550001253,0.0,0.0,0.0,0.0,15836.744550001253,15836.74455,1.5707200302871434e-18,,,,,,,,
525,15556.80390000123,0.0,0.0,0.0,0.0,15556.80390000123,15556.8039,1.5120067504081295e-18,,,,,,,,
526,15222.898350001204,0.0,0.0,0.0,0.0,15222.898350001204,15222.89835,1.4500277614707562e-18,,,,,,,,
527,14915.07270000118,0.0,0.0,0.0,0.0,14915.07270000118,14915.0727,1.3893457917338661e-18,,,,,,,,
528,14544.90675000115,0.0,0.0,0.0,0.0,14544.90675000115,14544.90675,1.3215831559535221e-18,,,,,,,,
529,14184.17715000112,0.0,0.0,0.0,0.0,14184.17715000112,14184.17715,1.2555145860676867e-18,,,,,,,,
530,13752.601500001088,0.0,0.0,0.0,0.0,13752.601500001088,13752.6015,1.1832123830856516e-18,,,,,,,,
531,13325.558400001053,0.0,0.0,0.0,0.0,13325.558400001053,13325.5584,1.1092194229315582e-18,,,,,,,,
532,12912.768000001022,0.0,0.0,0.0,0.0,12912.768000001022,12912.768,1.0450401335647939e-18,,,,,,,,
533,12450.875250000985,0.0,0.0,0.0,0.0,12450.875250000985,12450.87525,9.719835418641105e-19,,,,,,,,
534,11983.723950000947,0.0,0.0,0.0,0.0,11983.723950000947,11983.72395,8.981229306080255e-19,,,,,,,,
535,11560.329000000915,71250.03749999989,0.0,0.0,0.0,82810.3665000008,82810.3665,6.405686663610646e-19,,,,,,,,
536,11161.880400000884,76918.73114499987,0.0,0.0,0.0,88080.61154500075,88080.611545,5.507831739521088e-19,,,,,,,,
537,10735.228350000847,85698.62097999988,0.0,0.0,0.0,96433.84933000072,96433.84933,5.293955920339377e-19,,,,,,,,
538,10380.791850000822,92645.78611499986,0.0,0.0,0.0,103026.57796500069,103026.577965,4.677739451211874e-19,,,,,,,,
539,9988.22880000079,112646.66045499983,0.0,0.0,0.0,122634.88925500063,122634.889255,3.9154097986830033e-19,,,,,,,,
540,9632.403000000762,137664.7942449998,0.0,0.0,0.0,147297.19724500057,147297.197245,3.3881317890172014e-19,,,,,,,,
541,9271.029900000733,158694.58935999972,0.0,0.0,0.0,167965.61926000044,167965.61926,1.9058241313221758e-19,,,,,,,,
542,8934.289650000706,200743.68152999968,0.0,0.0,0.0,209677.9711800004,209677.97118,1.6601845766184287e-19,,,,,,,,
543,8624.464200000682,239386.4489499996,0.0,0.0,0.0,248010.9131500003,248010.91315,8.470329472543003e-20,,,,,,,,
544,8344.77765000066,293206.37999999954,0.0,0.0,0.0,301551.1576500002,301551.15765,3.049318610115481e-20,,,,,,,,
545,8082.805500000639,354478.7507699994,0.0,0.0,0.0,362561.55627000006,362561.55627,3.3881317890172014e-21,,,,,,,,
546,7788.262350000617,429106.7238999993,0.0,0.0,0.0,436894.9862499999,436894.98625,1.3552527156068805e-20,,,,,,,,
547,7545.720600000596,517693.3463999992,0.0,0.0,0.0,525239.0669999998,525239.067,5.421010862427522e-20,,,,,,,,
548,7287.0055500005765,616950.285799999,0.0,0.0,0.0,624237.2913499996,624237.29135,1.2197274440461925e-19,,,,,,,,
549,7052.443200000558,725064.4088499988,0.0,0.0,0.0,732116.8520499994,732116.85205,3.3881317890172014e-19,,,,,,,,
550,6810.493800000539,877433.3995499986,0.0,0.0,0.0,884243.8933499991,884243.89335,8.673617379884035e-19,,,,,,,,
551,6607.359000000522,1017491.9362999984,0.0,0.0,0.0,1024099.295299999,1024099.2953,1.0977546996415732e-18,,,,,,,,
552,6391.712250000505,1188385.1974499982,0.0,0.0,0.0,1194776.9096999988,1194776.9097,1.3552527156068805e-18,,,,,,,,
553,6213.089850000491,1374095.1395499979,0.0,0.0,0.0,1380308.2293999984,1380308.2294,2.656295322589486e-18,,,,,,,,
554,6016.050150000476,1568467.4597499976,0.0,0.0,0.0,1574483.509899998,1574483.5099,3.469446951953614e-18,,,,,,,,
555,5836.795800000461,1795767.4626499973,0.0,0.0,0.0,1801604.2584499978,1801604.25845,5.421010862427522e-18,,,,,,,,
556,5660.499900000448,2014884.5234999969,0.0,0.0,0.0,2020545.0233999973,2020545.0234,7.806255641895632e-18,,,,,,,,
557,5484.402000000433,2218948.697049997,0.0,0.0,0.0,2224433.099049997,2224433.09905,7.806255641895632e-18,,,,,,,,
558,5328.1321500004215,2467128.749849996,0.0,0.0,0.0,2472456.8819999965,2472456.882,1.3877787807814457e-17,,,,,,,,
559,5178.94410000041,2683437.209999996,0.0,0.0,0.0,2688616.154099996,2688616.1541,1.3877787807814457e-17,,,,,,,,
560,4998.899400000395,2882402.8010999956,0.0,0.0,0.0,2887401.700499996,2887401.7005,1.3877787807814457e-17,,,,,,,,
561,4832.406150000383,3057331.5312999953,0.0,0.0,0.0,3062163.9374499954,3062163.93745,2.168404344971009e-17,,,,,,,,
562,4680.33225000037,3226709.227449995,0.0,0.0,0.0,3231389.5596999954,3231389.5597,2.168404344971009e-17,,,,,,,,
563,4538.488350000359,3374523.7604999947,0.0,0.0,0.0,3379062.248849995,3379062.24885,2.6237692574149207e-17,,,,,,,,
564,4386.884700000347,3505212.0393999945,0.0,0.0,0.0,3509598.924099995,3509598.9241,2.6237692574149207e-17,,,,,,,,
565,4256.151900000336,3586954.592149995,0.0,0.0,0.0,3591210.744049995,3591210.74405,2.168404344971009e-17,,,,,,,,
566,4137.421200000327,3654916.9625499942,0.0,0.0,0.0,3659054.3837499944,3659054.38375,3.122502256758253e-17,,,,,,,,
567,4002.0519000003164,3685101.842249994,0.0,0.0,0.0,3689103.8941499945,3689103.89415,3.122502256758253e-17,,,,,,,,
568,3844.141950000304,3696499.9999999944,0.0,0.0,0.0,3700344.1419499945,3700344.14195,3.122502256758253e-17,,,,,,,,
569,3710.9985000002935,3667948.973299994,0.0,0.0,0.0,3671659.9717999944,3671659.9718,3.122502256758253e-17,,,,,,,,
570,3621.6196500002866,3617303.596449994,0.0,0.0,0.0,3620925.2160999943,3620925.2161,3.122502256758253e-17,,,,,,,,
571,3475.9692000002747,3565588.8221499943,0.0,0.0,0.0,3569064.7913499945,3569064.79135,3.122502256758253e-17,,,,,,,,
572,3350.5164000002646,3504726.6889499943,0.0,0.0,0.0,3508077.2053499944,3508077.20535,3.122502256758253e-17,,,,,,,,
573,3215.3748000002543,3424926.2772999946,0.0,0.0,0.0,3428141.652099995,3428141.6521,2.6237692574149207e-17,,,,,,,,
574,3102.7359000002452,3286160.7762499945,0.0,0.0,0.0,3289263.5121499947,3289263.51215,2.6237692574149207e-17,,,,,,,,
575,2996.2498500002366,3187035.4322499954,0.0,0.0,0.0,3190031.6820999957,3190031.6821,1.7564075194265172e-17,,,,,,,,
576,2870.432400000227,3090790.770699995,0.0,0.0,0.0,3093661.2030999954,3093661.2031,2.168404344971009e-17,,,,,,,,
