Wavelength,10 AF555 + 1 AF594 + 2 AF647,1 AF488 + 12 AF555 + 21 AF594 + 87 AF610 + 20 AF647,32 AF555 + 34 AF594  + 87 AF647
498,0,3883.05555,0
499,0,4492.57875,0
500,0,5157.27135,0
501,0,5859.01965,0
502,0,6608.09655,0
503,0,7367.8869,0
504,0,8193.81255,0
505,0,8986.8669,0
506,0,9835.4256,0
507,0,10663.5012,0
508,0,11513.3832,0
509,0,12258.114,0
510,0,13053.74235,0
511,0,13708.1769,0
512,0,14317.36185,0
513,0,14879.64555,0
514,0,15323.7117,0
515,0,15685.2729,0
516,0,15997.1328,0
517,0,16241.6958,0
518,0,16412.23815,0
519,0,16470.42705,0
520,0,16500,0
521,0,16437.06075,0
522,0,16265.89305,0
523,0,16050.38985,0
524,0,15836.74455,0
525,0,15556.8039,0
526,0,15222.89835,0
527,0,14915.0727,0
528,0,14544.90675,0
529,0,14184.17715,0
530,0,13752.6015,0
531,0,13325.5584,0
532,0,12912.768,0
533,0,12450.87525,0
534,0,11983.72395,0
535,385.5,82810.3665,144.5625
536,416.1706,88080.611545,156.063975
537,463.6744,96433.84933,173.8779
538,501.2622,103026.577965,187.973325
539,609.4774,122634.889255,228.554025
540,744.8386,147297.197245,279.314475
541,858.6208,167965.61926,321.9828
542,1086.1284,209677.97118,407.29815
543,1295.206,248010.91315,485.70225
544,1586.4,301551.15765,594.9
545,1917.9156,362561.55627,719.21835
546,2321.692,436894.98625,870.6345
547,2800.992,525239.067,1050.372
548,3338.024,624237.29135,1251.759
549,3922.978,732116.85205,1471.11675
550,4747.374,884243.89335,1780.26525
551,5505.164,1024099.2953,2064.4365
552,6429.786,1194776.9097,2411.16975
553,7434.574,1380308.2294,2787.96525
554,8486.23,1574483.5099,3182.33625
555,9716.042,1801604.25845,3643.51575
556,10901.58,2020545.0234,4088.0925
557,12005.674,2224433.09905,4502.12775
558,13348.458,2472456.882,5005.67175
559,14518.8,2688616.1541,5444.55
560,15595.308,2887401.7005,5848.2405
561,16541.764,3062163.93745,6203.1615
562,17458.186,3231389.5597,6546.81975
563,18257.94,3379062.24885,6846.7275
564,18965.032,3509598.9241,7111.887
565,19407.302,3591210.74405,7277.73825
566,19775.014,3659054.38375,7415.63025
567,19938.33,3689103.89415,7476.87375
568,20000,3700344.14195,7500
569,19845.524,3671659.9718,7442.0715
570,19571.506,3620925.2161,7339.31475
571,19291.702,3569064.79135,7234.38825
572,18962.406,3508077.20535,7110.90225
573,18530.644,3428141.6521,6948.9915
574,17779.85,3289263.51215,6667.44375
575,17243.53,3190031.6821,6466.32375
576,16722.796,3093661.2031,6271.0485
577,15983.86,2956976.6914,5993.9475
578,15355.23,2840692.8726,5758.21125
579,14767.15,2731895.56645,5537.68125
580,16866.1974,3066769.636316,6615.867582
581,16613.0554,3011495.5700532,6544.450932
582,16336.8029,2952214.2082428,6475.652562
583,16357.27105,2945898.8009438,6532.720764
584,16308.8712,2925018.1507738,6574.040946
585,16419.309,2932982.1259676,6679.14075
586,16618.785,2955797.8439084,6823.82511
587,16858.202,2984614.989998,6992.75496
588,17472.8315,3079290.763174,7318.24518
589,18035.198,3163050.905236,7631.07402
590,18790.736,3281539.464062,8023.39518
591,19631.2,3415505.760283,8451.34359
592,20620.0995,3573720.291972,8948.07333
593,21708.9525,3746712.404299,9502.66692
594,22766.0105,3919422.089624,10020.52641
595,24008.441,4122308.363925,10632.66951
596,25300.25,4333146.752951,11267.01552
597,26845.3665,4587709.519563,12014.96787
598,28427.9105,4849420.591838,12777.03444
599,29995.852,5109028.10894,13540.62516
600,31671.119,5386720.45141,14350.81854
601,33391.6805,5675007.346365,15172.76631
602,34950.945,5934805.7067,15932.10618
603,36824.78,6251739.93122,16820.5161
604,38560.212,6543091.38584,17662.96989
605,40324.57,6843054.69616,18502.40967
606,41833.71,7102779.222585,19222.49502
607,43334.766,7355684.487395,19957.05972
608,44838.9015,7617566.972015,20679.4845
609,46212.8355,7858306.319845,21334.61511
610,47388.587,8062537.489455,21910.02519
611,48650.561,8287279.84363,22513.70379
612,49549.4815,8452073.95812,22958.00214
613,50166.5475,8568333.002075,23273.31033
614,50822.709,8697187.96898,23588.21934
615,51391.332,8808289.069435,23876.79687
616,51728.662,8883650.49494,24055.69965
617,51990.1575,8941791.450575,24201.46737
618,52029.016,8968718.51891,24235.881
619,51758.2275,8943731.321655,24126.10011
620,51583.095,8936533.24038,24049.96569
621,51325.223,8909310.298865,23946.98133
622,50602.61,8805415.632045,23629.09638
623,50047.566,8728004.48122,23380.15545
624,49385.1105,8628619.217685,23093.89731
625,48686.454,8530823.281855,22761.93096
626,47512.6715,8343733.77501,22231.90956
627,46582.8555,8195316.899495,21804.74064
628,45534.9925,8026189.47037,21322.16538
629,44529.6475,7859616.79186,20864.34177
630,46609.84080056,8183747.99796123,21495.29041665
631,45940.17896128,8067019.54424039,21155.6531402
632,45320.88878496,7957315.14988114,20810.5420764
633,44903.9505488,7877617.64198182,20544.9199895
634,44283.92746752,7759571.77601843,20173.9069943
635,44059.97541384,7706727.67891943,19974.39793185
636,44088.47227192,7694224.72314384,19875.10685155
637,44070.60016672,7668379.39289881,19729.3082298
638,44235.433904,7671902.2073706,19660.97612
639,44829.87559488,7749097.35615443,19763.3565742
640,45394.76933592,7810642.44109344,19851.11984655
641,46472.984564,7960931.5906896,20130.65018
642,48015.2036464,8186899.48282296,20576.133346
643,49712.9383656,8435823.72874884,21092.528354
644,51684.0418032,8726337.54444098,21691.4569355
645,54030.729404,9082352.9842281,22438.0770275
646,56662.8634776,9479948.74250314,23316.4008365
647,59850.2761952,9969494.45756478,24375.6509305
648,63234.4508728,10487775.9361579,25512.508727
649,66878.0847896,11051201.5991649,26744.8891915
650,71114.74466,11711222.610864,28199.187625
651,75447.3667048,12385218.0971652,29698.3833495
652,80999.0271248,13254444.7754532,31639.1021945
653,86342.681632,14090504.1142998,33508.705655
654,91087.7246472,14832825.1438201,35157.3175255
655,97977.5117088,15917727.1288178,37593.974832
656,103522.478436,16790418.8782079,39550.776535
657,109840.4800528,17785515.7694259,41775.8931945
658,116513.9648952,18838557.4683933,44155.5927355
659,121728.6256696,19660104.4171274,45992.633779
660,128145.0842176,20673742.3708386,48273.1455415
661,133833.2282224,21570520.1244254,50291.7687035
662,139578.0726656,22475922.2677263,52344.9820465
663,145734.0029024,23454221.6127504,54536.377041
664,151023.5464968,24287792.1832215,56405.1278495
665,154075.528908,24767678.4735232,57480.418645
666,157563.7505824,25317411.7017839,58714.886661
667,160059.6097336,25708571.6156255,59583.797879
668,163151.453692,26194390.3190153,60662.7130575
669,164530.925532,26410196.0034153,61137.304525
670,166133.391508,26660687.8580212,61671.5565425
671,166309.3745,26684963.9352345,61713.53677
672,164973.733416,26465456.1851749,61207.0383775
673,163180.1194408,26175394.0111701,60533.463237
674,160715.1507144,25780082.9711667,59601.443226
675,158039.047572,25350765.7896668,58616.06046
676,155802.4935664,24990568.9981735,57783.7086985
677,150386.0154456,24122844.9697033,55790.7926415
678,146948.1437736,23572454.63656,54521.646749
679,143194.5883384,22971282.9935343,53135.8847085
680,138810.5401336,22270222.115964,51527.258199
681,134011.6495464,21501603.9643955,49765.8925185
682,128629.6181784,20639797.8690828,47789.658421
683,124840.4131352,20034100.0817883,46389.650083
684,118838.3527424,19075804.1161199,44193.9578685
685,114594.237736,18395262.9292779,42634.5030875
686,110329.6459064,17712840.960602,41064.949411
687,104449.7027232,16773790.9497465,38905.233778
688,100063.0505288,16070959.7565013,37287.767007
689,96625.2134272,15520970.8067921,36021.355698
690,91180.3208264,14649559.03467,34031.215231
691,86639.431952,13921473.2290003,32355.5706675
692,83340.9414616,13394578.9972457,31144.6393615
693,79460.0968632,12772151.5544225,29708.392078
694,76205.864488,12249958.6833257,28512.4917625
695,73209.1484424,11770877.0613699,27401.6184385
696,69855.9497448,11231664.4626937,26167.086387
697,67206.9813344,10808319.0347837,25190.7408935
698,64485.5221544,10371083.9722117,24186.2211835
699,61605.0977888,9908311.70348782,23108.5772895
700,59044.4021752,9498742.55587778,22165.2299405
701,57250.956216,9210012.9805554,21488.373985
702,55156.8779032,8872989.10173948,20708.134023
703,53171.9743688,8553570.27130632,19965.467312
704,51534.2612064,8289642.19304746,19345.2211185
705,49339.5217216,7936727.02322724,18524.629499
706,47735.1905944,7678380.10188616,17929.416686
707,46713.8747184,7512808.86542876,17540.060731
708,45474.2062608,7311810.96728612,17070.626307
709,43735.6515152,7031910.96085128,16414.064448
710,43118.4115872,6932580.73444158,16174.0561455
711,42162.2128224,6777350.78009886,15805.7565635
712,41647.3260256,6693391.11444884,15608.398099
713,40642.3619628,6530583.45926192,15224.050402
714,40347.1319832,6481339.34513098,15101.6414905
715,39736.3104412,6381294.90306518,14861.5657275
716,39234.3974416,6299942.34836924,14653.714789
717,38588.5786176,6194161.93349264,14408.879418
718,38294.1951256,6146424.65908934,14289.3424355
719,37488.3630192,6015220.97892438,13975.3771515
720,37251.4335256,5976602.78908484,13874.477219
721,37051.0392804,5942428.73028906,13798.6303785
722,36502.3302016,5854157.36636224,13585.563476
723,36436.4194232,5842101.10080548,13545.103317
724,35808.0928408,5740543.15746612,13298.433527
725,35352.8738752,5660241.85066478,13121.3672015
726,34599.0293616,5538809.69070274,12840.8783325
727,34309.854826,5491904.5687699,12726.0503975
728,34173.801368,5469628.0777372,12673.62415
729,33432.6063744,5350668.53383366,12391.8273315
730,32896.9251108,5264127.48090212,12193.972533
731,32509.771652,5201872.5868263,12046.4437255
732,32324.5564152,5171632.50191628,11973.020601
733,31560.0366136,5048951.50564404,11691.582737
734,31019.0645076,4961449.63429814,11481.6328275
735,30454.1591864,4871179.65464496,11275.727458
736,29849.7371144,4774363.08664516,11049.336121
737,29256.1579588,4678987.17858632,10829.965262
738,28724.5252864,4593776.50682746,10627.6016465
739,28194.1672552,4508899.57511478,10433.8597835
740,27442.5880108,4388313.50310712,10151.639384
741,26709.1722072,4271172.50841258,9881.9639865
742,26008.4285472,4159044.31029758,9626.8842015
743,25188.5652608,4028093.16527212,9325.762837
744,24597.836382,3933461.2770863,9106.0131255
745,24074.6005508,3849548.69447062,8914.3289995
746,23421.2476972,3745009.74066458,8674.2737645
747,22649.9900316,3621490.54208174,8385.6686115
748,21937.1199712,3507867.05644018,8127.8264765
749,21332.0506816,3411030.25137934,7906.2430535
750,20675.9369536,3306014.10241834,7662.3997835
751,18245.1349552,2912888.82707988,6601.858043
752,17384.5353664,2775277.50935016,6290.456876
753,16790.1981448,2680595.52227942,6075.4006445
754,16429.1770776,2622562.26894674,5944.7680215
755,15799.609524,2522367.7194281,5716.9639725
756,15005.94229616,2395733.73197812,5429.7817519
757,14312.73886032,2285113.02084335,5178.9515613
758,13546.41500368,2162580.08170745,4901.6633237
759,13130.83886104,2096545.81952321,4751.29037735
760,12237.0099564,1953766.61098351,4427.86544475
761,11893.1808948,1898911.06416897,4303.45361325
762,11423.6090656,1823884.28727984,4133.542754
763,10994.56939072,1755343.80910001,3978.2981348
764,10635.66760328,1698060.03730624,3848.43235645
765,10115.7866104,1615323.07181146,3660.3175235
766,9849.06179536,1572654.5144292,3563.8052549
767,9593.11665008,1531807.07785561,3471.1935247
768,9283.56646736,1482235.2500494,3359.1852349
769,9002.46909624,1437584.55505109,3257.47237035
770,8626.44393728,1377314.12483639,3121.4106352
771,8587.64556184,1371052.73097193,3107.37174935
772,8398.70924872,1340911.79352986,3039.00663605
773,8114.80117416,1295632.98212847,2936.27674065
774,7804.79020344,1246167.81651277,2824.10171835
775,7581.8160652,1210524.28560783,2743.42028675
776,7169.16557144,1142717.82652457,2594.10596335
777,7048.73695184,1123522.29685388,2550.5298181
778,6734.3556528,1073411.98608492,2436.773427
779,6582.28994472,1049173.71264926,2381.74965105
780,6495.501956,1035340.2782209,2350.3461025
781,6337.76640472,1010198.26908076,2293.27073855
782,6003.8840924,956979.62509111,2172.45805975
783,5847.96559928,932127.243067342,2116.04018395
784,5644.61922712,899715.169150118,2042.46090455
785,5454.38301456,869392.768422084,1973.6254329
786,5455.73086696,869607.607227194,1974.11314265
787,5249.49075224,836734.289783686,1899.48678535
788,5186.13775112,826636.238201218,1876.56300205
789,5122.42531104,816480.894413256,1853.5091586
790,5053.38478912,805476.289433168,1828.5273908
791,5125.32924824,816943.762898086,1854.55992535
792,4933.82855224,786419.811828686,1785.26691035
793,4731.2768832,754134.40836048,1711.975188
794,4449.72341784,709256.638307526,1610.09728935
795,4399.0410744,701178.20619966,1591.7582835
796,4293.64132864,684378.180144896,1553.6202176
797,4253.13560712,677921.834619618,1538.96354205
798,4044.45749296,644659.916104844,1463.4550139
799,3975.60988488,633686.060321682,1438.54305045
800,3907.070054,622761.26219935,1413.74245375
801,0,0,0
802,0,0,0
803,0,0,0
804,0,0,0
805,0,0,0
806,0,0,0
807,0,0,0
808,0,0,0
809,0,0,0
810,0,0,0
811,0,0,0
812,0,0,0
813,0,0,0
814,0,0,0
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,0,0,0
826,0,0,0
827,0,0,0
828,0,0,0
829,0,0,0
830,0,0,0
831,0,0,0
832,0,0,0
833,0,0,0
834,0,0,0
835,0,0,0
836,0,0,0
837,0,0,0
838,0,0,0
839,0,0,0
840,0,0,0
841,0,0,0
842,0,0,0
843,0,0,0
844,0,0,0
845,0,0,0
846,0,0,0
847,0,0,0
848,0,0,0
849,0,0,0
850,0,0,0
851,0,0,0
852,0,0,0
853,0,0,0
854,0,0,0
855,0,0,0
856,0,0,0
857,0,0,0
858,0,0,0
859,0,0,0
860,0,0,0
861,0,0,0
862,0,0,0
863,0,0,0
864,0,0,0
865,0,0,0
866,0,0,0
867,0,0,0
868,0,0,0
869,0,0,0
870,0,0,0
871,0,0,0
872,0,0,0
873,0,0,0
874,0,0,0
875,0,0,0
876,0,0,0
877,0,0,0
878,0,0,0
879,0,0,0
880,0,0,0
881,0,0,0
882,0,0,0
883,0,0,0
884,0,0,0
885,0,0,0
886,0,0,0
887,0,0,0
888,0,0,0
889,0,0,0
890,0,0,0
891,0,0,0
892,0,0,0
893,0,0,0
894,0,0,0
895,0,0,0
896,0,0,0
897,0,0,0
898,0,0,0
899,0,0,0
900,0,0,0
901,0,0,0
902,0,0,0
903,0,0,0
904,0,0,0
905,0,0,0
906,0,0,0
907,0,0,0
908,0,0,0
909,0,0,0
910,0,0,0
911,0,0,0
912,0,0,0
913,0,0,0
914,0,0,0
915,0,0,0
916,0,0,0
917,0,0,0
918,0,0,0
919,0,0,0
920,0,0,0
921,0,0,0
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0
926,0,0,0
927,0,0,0
928,0,0,0
929,0,0,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,0
934,0,0,0
935,0,0,0
936,0,0,0
937,0,0,0
938,0,0,0
939,0,0,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,0
944,0,0,0
945,0,0,0
946,0,0,0
947,0,0,0
948,0,0,0
949,0,0,0
